name,ring,quadrant,isNew,description
Ansible,assess,languages & frameworks,TRUE,"Ansible is a tool that automates software provisioning, configuration management, and application deployment.  Underlying modules are written in python. <a href=""http://docs.ansible.com/"">Ansible Docs</a>"
Puppet,adopt,languages & frameworks,FALSE,"Puppet is a tool that automates software provisioning, configuration management, and application deployment.  Underlying modules are written in ruby dsl. <a href=""https://puppet.com/docs"">Puppet Docs</a>"
Go Lang,assess,languages & frameworks,TRUE,"Go is an functional open source programming language, written and maintained by google. Its concurrency mechanisms make it easy to write programs that get the most out of multicore and networked machines. <a href=""https://golang.org/doc/"">Go Docs</a>"
Object Storage,trial,platforms,TRUE,"Object Storage is a distributed storage architecture that manages data as objects instead of files or blocks.  Common implementations of this are found in S3, Azure Storage, Google Cloud Platform Unified Object Storage and CEPH (on prem)."
NFS,depr,platforms,FALSE,Network File System(NFS) is a distributed file system protocol developed in 1984.
Docker,adopt,platforms,TRUE,"Docker is a containerization technology that helps enable easy packaging of apps written in any programming language or service into containers without the risk of incompatibilities or version conflicts. Isolated containers are then portable to any machine running Docker. <a href=""https://docs.docker.com/"">Docker Docs</a>"
AWS Lambda,trial,platforms,FALSE,"Amazon's serverless function offering.  This supports Node.js (JavaScript), Python, Java (Java 8 compatible), and C# (.NET Core) <a href=""https://aws.amazon.com/lambda/"">Lambda</a>"
Kubernetes,trial,platforms,FALSE,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications. <a href=""https://kubernetes.io/docs/home"">Kubernetes Docs</a>"
Pivotal Cloud Foundry,assess,platforms,FALSE,"This is the description. You can use basic html such as the <strong>strong tag to emphasise keywords and phrases</strong> and insert <a href=""https://www.thoughtworks.com"">anchor links to documentation and referance material</a>."
Azure,assess,platforms,TRUE,"Microsoft's cloud offering <a href=""https://azure.microsoft.com/en-us/"">Azure</a>"
Google Cloud Platform,assess,platforms,TRUE,"Google's cloud offering <a href=""https://cloud.google.com/"">GCP</a>"
AWS,assess,platforms,TRUE,Amazon Web Service cloud offering 
Rancher,trial,platforms,FALSE,"Rancher is a curated Kubernetes environment which makes things much easier to use. <a href=""http://rancher.com/docs/rancher/latest/en/"">Rancher Docs</a>"
Pipelines as code,adopt,techniques,TRUE,"Describing your build and CI/CD pipelines as code, commonly done via a jenkinsfile. <a href=""https://jenkins.io/solutions/pipeline/"">Jenkins pipelines</a>"
Threat Modeling,adopt,techniques,FALSE,Threat modeling allows you to apply a structured approach to security and to address the top threats that have the greatest potential impact to your application first. 
Data Lake,assess,techniques,TRUE,"A data lake is a method of storing data within a system or repository, in its natural format, that facilitates the collocation of data in various schemata and structural forms, usually object blobs or files. The idea of data lake is to have a single store of all data in the enterprise ranging from raw data to transformed data which is used for various tasks including reporting, visualization, analytics and machine learning."
Container security scanning,assess,techniques,TRUE,The technique of scanning container images for known vulnerabilities to thwart security threats before they make it into the wild.
Content Security Policies,assess,techniques,FALSE,
A single CI instance for all teams,assess,techniques,FALSE,"CMM current works this was, and we are reviewing how and if we should change given the current working model."
Cloud lift and shift,depr,techniques,FALSE,The practice of taking current infrastructure and moving it to the cloud with no architectural changes to account for the benefits/costs of cloud operation.
